siteID,xcoord,ycoord,mdcaty,wgt,panel,EvalStatus,EvalReason,Mean Percent Cover,Mean Canopy Gap Size m,Mean Basal Gap Size m,Mean Canopy Gap Percent,Mean Basal Gap Percent
Site-038,590624,3764770,CR,1308072.229,OverSamp,Target - Surveyed,,40.7,3.5,7.6,87.2,95.8
Site-039,573989,3761055,JCPF,4968588.156,OverSamp,Target - Surveyed,,32.7,3.5,5.7,88.3,97.5
Site-040,561942,3765029,JCPF,4968588.156,OverSamp,Target - Not Sampled,Too close to trail,,,,,
Site-041,588074,3750368,LT,5621027.91,OverSamp,Target - Surveyed,,25.3,2.6,5.7,80.8,98.5
Site-042,583265,3763626,PR,5194778.505,OverSamp,Target - Surveyed,,41.3,3.1,3.8,88.6,92.5
Site-043,581895,3757710,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-044,571196,3768814,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-045,582387,3765538,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-046,576918,3760841,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-047,571707,3768337,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-048,561552,3769211,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-049,587714,3746480,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-050,586110,3759337,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-051,580829,3762790,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-052,575001,3767251,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-053,585418,3752128,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-054,590309,3762853,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-055,573157,3759990,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-056,564290,3762568,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-057,557882,3768716,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-058,583582,3764941,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-059,576429,3758831,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-060,569899,3767051,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-061,584386,3757889,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-062,578954,3761568,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-063,575159,3770568,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-064,568303,3773417,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-065,577953,3753950,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-066,582220,3755198,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-067,578665,3763832,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-068,573074,3767140,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-069,584333,3751749,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-070,589134,3763934,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-071,576469,3762713,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-072,578183,3768333,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-073,587758,3752752,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-074,585377,3761455,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-075,577521,3756003,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-076,567384,3762305,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-077,555240,3770256,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-078,583181,3760132,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-079,576592,3756666,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-080,567530,3769241,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-081,586528,3747682,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-082,585310,3755001,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-083,577722,3762945,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-084,574047,3765833,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-085,584185,3754009,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-086,588843,3764802,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-087,575427,3761578,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-088,577112,3765992,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-089,587802,3751699,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-090,582181,3764546,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-091,577103,3754987,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-092,571223,3761798,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-093,583126,3766798,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-094,584579,3762203,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-095,573311,3768275,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-096,563013,3766827,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-097,587968,3747933,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-098,585249,3758557,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-099,578694,3764080,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-100,575617,3766691,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-101,587337,3751307,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-102,590926,3764134,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-103,573651,3762670,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-104,562704,3765289,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-105,587590,3749645,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-106,584365,3763305,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-107,575516,3758218,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-108,569779,3768356,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-109,582682,3759668,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-110,577532,3760834,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-111,571978,3768242,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-112,560497,3768165,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-113,589616,3748315,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-114,587879,3758868,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-115,575388,3765273,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-116,575596,3766620,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-117,588919,3752466,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-118,590975,3763907,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-119,573828,3761932,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-120,564863,3762984,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-121,559571,3770480,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-122,584314,3764214,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-123,573977,3759360,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-124,570273,3766843,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-125,582792,3757331,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-126,577044,3761458,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-127,575361,3768217,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-128,570645,3770715,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-129,577895,3753756,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-130,582588,3754916,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-131,578652,3762885,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-132,572811,3767948,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-133,582980,3754435,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-134,588901,3763043,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-135,574934,3762280,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-136,580676,3766012,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-137,590909,3753318,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-138,586075,3761595,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-139,576988,3756570,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-140,567043,3762711,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-141,555991,3770388,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-142,584651,3760239,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-143,575610,3756615,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-144,566870,3769287,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-145,589332,3747714,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-146,586003,3757032,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-147,577770,3763398,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-148,575199,3765702,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-149,583810,3753949,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-150,589536,3764669,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-151,576346,3761671,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-152,576684,3766513,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-153,587520,3750758,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-154,583002,3765034,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-155,581930,3754693,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-156,567539,3767955,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-157,583718,3766029,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-158,583832,3761575,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-159,572994,3769018,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-160,561884,3767591,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-161,588106,3747649,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-162,585399,3758594,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-163,581403,3764671,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-164,574380,3767918,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-165,584919,3754459,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-166,590563,3764591,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-167,571260,3760762,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-168,563086,3763115,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-169,554092,3770655,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-170,584613,3762684,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-171,575999,3758233,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-172,571040,3769522,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-173,584736,3758969,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-174,578368,3761337,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-175,575856,3770056,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-176,562045,3768469,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-177,589927,3746222,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-178,587961,3759258,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-179,576632,3764804,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-180,576279,3766405,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-181,589037,3752606,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-182,590631,3763846,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-183,577868,3759562,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-184,563324,3764473,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-185,558842,3769608,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-186,583777,3764391,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-187,574716,3759126,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-188,570292,3767187,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-189,582176,3756974,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-190,577884,3762156,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-191,575418,3769033,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-192,568403,3771580,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-193,587325,3746158,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-194,582931,3754785,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-195,578922,3763886,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-196,573421,3767815,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-197,583209,3752457,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-198,589867,3763899,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-199,574155,3761872,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-200,580935,3765321,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-201,589781,3750322,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-202,585285,3761151,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-203,576756,3756344,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-204,568620,3760558,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-205,556009,3767134,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-206,583827,3760626,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-207,575320,3756258,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-208,566896,3770177,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-209,588406,3748661,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-210,586207,3755628,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-211,578577,3764032,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-212,575695,3767349,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-213,587399,3750387,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-214,589250,3764557,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-215,574496,3760129,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-216,561179,3765029,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-217,588905,3751701,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-218,582264,3763472,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-219,581758,3759634,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-220,571180,3768078,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-221,582759,3765487,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-222,581924,3760228,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-223,572037,3770035,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-224,561870,3765527,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-225,588223,3747283,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-226,586286,3758997,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-227,579520,3762675,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-228,574861,3767409,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-229,584924,3751901,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-230,590223,3764176,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-231,573755,3760947,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-232,565052,3762125,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-233,552597,3770303,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-234,584433,3764764,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-235,576517,3759467,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-236,570199,3769719,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-237,583743,3757661,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-238,578477,3761972,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-239,575489,3769663,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-240,563265,3765361,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-241,588613,3745497,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-242,589126,3758089,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-243,575061,3764410,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-244,576085,3765534,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-245,589528,3751894,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-246,590250,3763847,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-247,577981,3758786,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-248,563364,3763923,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-249,556477,3769291,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-250,585555,3762719,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-251,572170,3759676,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-252,570322,3766433,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-253,584599,3757190,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-254,578110,3760409,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-255,574207,3768729,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-256,568123,3772834,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-257,589053,3748371,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-258,588546,3757947,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-259,581251,3763611,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-260,575218,3766810,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-261,587339,3752218,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-262,590798,3762804,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-263,571633,3761943,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-264,564269,3761464,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-265,559110,3769542,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-266,584471,3764627,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-267,575030,3757815,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-268,570667,3767221,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-269,582787,3758052,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-270,577902,3761370,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-271,574141,3770545,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-272,568663,3772501,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-273,588509,3746810,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-274,585515,3759408,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-275,581763,3764554,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-276,575393,3767297,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-277,584806,3753615,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-278,590206,3764329,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-279,572536,3760123,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-280,563113,3763380,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-281,585954,3743258,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-282,583639,3763945,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-283,576381,3757551,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-284,571132,3770225,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-285,582726,3759438,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-286,577294,3760174,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-287,576481,3769815,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-288,560915,3769748,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-289,588982,3746905,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-290,585306,3756070,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-291,577024,3763949,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-292,574282,3766151,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-293,583588,3753761,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-294,588970,3764030,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-295,576220,3762469,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-296,577105,3765740,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-297,589443,3750751,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-298,582632,3763035,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-299,581878,3756885,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-300,570288,3768911,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-301,583208,3766466,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-302,581758,3762137,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-303,571374,3769855,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-304,562654,3765325,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-305,587156,3748899,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-306,586667,3756923,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-307,577755,3763981,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-308,571535,3767449,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-309,584084,3752281,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-310,588741,3764499,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-311,574433,3762061,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-312,581121,3766563,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-313,588798,3749360,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-314,586440,3760157,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-315,577391,3755514,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-316,570458,3760700,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-317,558895,3766785,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-318,582881,3761332,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-319,575158,3756286,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-320,561638,3766203,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-321,587904,3745769,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-322,587921,3763276,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-323,575051,3765063,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-324,573698,3771758,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-325,588706,3752114,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-326,591161,3762337,CR,1308072.229,OverSamp,NotEval,,,,,,
Site-327,578128,3759181,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-328,563329,3762673,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-329,556685,3768297,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-330,587294,3763490,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-331,573620,3759530,JCPF,4968588.156,OverSamp,NotEval,,,,,,
Site-332,567462,3770372,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-333,584056,3756342,LT,5621027.91,OverSamp,NotEval,,,,,,
Site-334,578711,3762946,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-335,574655,3769355,PR,5194778.505,OverSamp,NotEval,,,,,,
Site-336,570436,3773408,JCPF,4968588.156,OverSamp,NotEval,,,,,,
